empno,ename,sal,job,doj,deptno,manager_id,bonus
50,Employee_50,41923,Manager,2021-03-02,6,915,2907
51,Employee_51,47290,Analyst,2023-04-22,6,488,4724
52,Employee_52,27701,Manager,2023-01-28,1,191,2596
53,Employee_53,42616,Analyst,2019-08-15,4,612,4280
54,Employee_54,43489,Manager,2022-01-17,5,301,3386
55,Employee_55,11292,Analyst,2020-10-28,7,253,4082
56,Employee_56,29157,Assistant,2023-06-16,9,819,3401
57,Employee_57,32724,Manager,2020-09-08,5,149,4315
58,Employee_58,11259,Analyst,2021-08-05,8,189,3714
59,Employee_59,45900,Analyst,2021-12-20,6,279,4355
60,Employee_60,13288,Manager,2020-03-04,9,708,4111
61,Employee_61,39628,Analyst,2020-06-23,1,742,4627
62,Employee_62,17555,Manager,2021-03-07,9,861,1620
63,Employee_63,36816,Assistant,2021-10-23,3,156,3754
64,Employee_64,28321,Analyst,2019-08-06,4,339,4555
65,Employee_65,45090,Engineer,2022-02-26,3,985,1912
66,Employee_66,23567,Analyst,2019-06-20,8,293,2172
67,Employee_67,17510,Engineer,2021-07-31,3,846,3190
68,Employee_68,11276,Assistant,2020-07-13,9,796,3741
69,Employee_69,11948,Assistant,2021-04-10,9,310,3850
70,Employee_70,47882,Analyst,2023-03-10,9,301,3717
71,Employee_71,46018,Assistant,2022-03-06,7,636,2466
72,Employee_72,22627,Manager,2021-03-23,9,720,1532
73,Employee_73,30884,Engineer,2020-12-17,10,785,1134
74,Employee_74,20778,Analyst,2019-10-19,2,897,1461
75,Employee_75,49008,Engineer,2022-08-13,7,329,2979
76,Employee_76,38970,Engineer,2020-10-07,5,806,4353
77,Employee_77,47748,Assistant,2021-03-14,8,768,1767
78,Employee_78,49476,Manager,2020-04-11,8,25,3144
79,Employee_79,23261,Manager,2022-04-13,9,261,3783
80,Employee_80,24519,Engineer,2023-04-24,9,673,1787
81,Employee_81,31024,Manager,2022-01-29,4,83,3082
82,Employee_82,23583,Assistant,2023-01-28,4,707,3550
83,Employee_83,10382,Manager,2020-01-01,10,166,3453
84,Employee_84,16280,Analyst,2022-03-11,2,651,1067
85,Employee_85,18001,Assistant,2020-04-03,1,703,3143
86,Employee_86,27603,Analyst,2021-06-09,4,847,2132
87,Employee_87,49921,Engineer,2020-12-15,7,658,3422
88,Employee_88,44811,Engineer,2020-07-18,8,757,2522
89,Employee_89,46109,Manager,2021-08-24,9,486,4257
90,Employee_90,23060,Engineer,2023-03-14,8,959,4909
91,Employee_91,38759,Manager,2022-12-02,6,83,4401
92,Employee_92,26256,Analyst,2019-07-06,10,864,4258
93,Employee_93,33378,Assistant,2020-04-05,5,276,1289
94,Employee_94,36213,Manager,2020-03-18,6,723,1381
95,Employee_95,48844,Assistant,2022-04-03,8,254,3650
96,Employee_96,29282,Manager,2022-08-01,4,961,2435
97,Employee_97,49361,Manager,2023-05-11,6,57,4065
98,Employee_98,37867,Assistant,2022-10-08,9,101,4981
99,Employee_99,26860,Manager,2022-11-15,9,233,3128
100,Employee_100,28021,Analyst,2021-03-17,1,682,4071
101,Employee_101,14368,Assistant,2020-10-13,5,156,1204
102,Employee_102,34476,Assistant,2021-05-10,4,668,1173
103,Employee_103,26479,Analyst,2019-07-09,1,756,4543
104,Employee_104,39244,Manager,2021-06-09,10,142,3002
105,Employee_105,30515,Manager,2020-11-19,7,845,2999
106,Employee_106,11892,Assistant,2021-04-21,2,864,1131
107,Employee_107,35508,Analyst,2021-06-25,9,788,1593
108,Employee_108,30052,Manager,2019-11-28,5,233,3434
109,Employee_109,38406,Manager,2022-01-01,2,156,4941
110,Employee_110,33844,Assistant,2020-01-20,9,207,1051
111,Employee_111,41957,Engineer,2020-07-07,10,337,4872
112,Employee_112,29538,Manager,2020-07-29,10,361,3320
113,Employee_113,10507,Assistant,2023-05-31,10,167,4495
114,Employee_114,21544,Assistant,2020-06-12,4,286,3831
115,Employee_115,29069,Assistant,2019-09-19,4,312,4668
116,Employee_116,42168,Engineer,2022-08-29,9,804,4846
117,Employee_117,16609,Engineer,2021-01-20,10,931,3667
118,Employee_118,40370,Analyst,2021-04-08,8,296,4650
119,Employee_119,15059,Assistant,2019-10-12,9,663,1772
120,Employee_120,22130,Analyst,2021-09-29,7,691,1705
121,Employee_121,35888,Engineer,2021-10-23,9,639,3187
122,Employee_122,40760,Assistant,2022-01-30,5,6,4554
123,Employee_123,17116,Assistant,2020-10-08,6,574,1514
124,Employee_124,33840,Engineer,2019-08-21,3,732,2879
125,Employee_125,33468,Analyst,2021-02-18,9,655,1647
126,Employee_126,21190,Assistant,2022-09-24,2,750,2839
127,Employee_127,23984,Manager,2019-12-08,10,293,3831
128,Employee_128,43159,Assistant,2020-12-06,7,59,3908
129,Employee_129,34451,Analyst,2022-01-18,1,35,3837
130,Employee_130,46217,Analyst,2021-02-22,5,852,1103
131,Employee_131,20566,Analyst,2021-07-01,6,561,1340
132,Employee_132,16129,Analyst,2020-11-27,5,888,4997
133,Employee_133,19666,Manager,2019-09-04,3,699,2264
134,Employee_134,12884,Manager,2021-07-19,2,64,2879
135,Employee_135,31603,Manager,2022-06-18,5,756,1349
136,Employee_136,33966,Analyst,2022-01-24,10,622,1708
137,Employee_137,30642,Assistant,2022-12-29,8,458,2301
138,Employee_138,15461,Manager,2020-07-11,10,654,2275
139,Employee_139,38310,Manager,2020-10-29,5,594,3021
140,Employee_140,39659,Assistant,2021-05-23,6,423,2224
141,Employee_141,47649,Assistant,2022-03-19,9,37,3690
142,Employee_142,16258,Engineer,2022-04-15,2,197,3475
143,Employee_143,34479,Engineer,2021-11-19,3,384,4295
144,Employee_144,26856,Manager,2020-05-31,2,713,4087
145,Employee_145,10889,Engineer,2022-11-30,5,430,1145
146,Employee_146,25577,Analyst,2021-05-11,3,205,3710
147,Employee_147,33225,Assistant,2022-05-24,4,380,4028
148,Employee_148,38979,Assistant,2021-04-05,1,726,4734
149,Employee_149,26813,Analyst,2022-04-06,3,181,2198
150,Employee_150,24572,Engineer,2021-01-12,5,140,3956
151,Employee_151,41835,Manager,2020-10-19,9,577,1334
152,Employee_152,17484,Assistant,2019-12-02,8,124,1830
153,Employee_153,32749,Manager,2019-07-04,5,356,3300
154,Employee_154,43838,Manager,2020-07-23,8,836,1811
155,Employee_155,30001,Engineer,2021-11-08,1,852,2702
156,Employee_156,19928,Manager,2020-05-04,6,189,3034
157,Employee_157,16775,Manager,2021-08-30,8,329,2412
158,Employee_158,14165,Assistant,2022-11-27,8,761,2527
159,Employee_159,44558,Engineer,2022-12-20,6,654,1688
160,Employee_160,48335,Assistant,2023-02-16,7,930,3254
161,Employee_161,12675,Analyst,2022-10-14,4,370,2559
162,Employee_162,11323,Analyst,2020-12-02,7,476,4611
163,Employee_163,28094,Manager,2021-07-04,5,624,3270
164,Employee_164,48755,Analyst,2022-08-31,4,877,4030
165,Employee_165,23403,Analyst,2019-07-20,4,68,2827
166,Employee_166,16966,Analyst,2021-04-25,6,691,3338
167,Employee_167,40884,Assistant,2022-04-05,10,950,1931
168,Employee_168,26537,Manager,2019-07-25,6,310,4916
169,Employee_169,28148,Assistant,2021-03-27,1,17,3705
170,Employee_170,22578,Engineer,2019-08-13,2,165,4167
171,Employee_171,28687,Analyst,2020-07-21,7,645,3400
172,Employee_172,15362,Engineer,2022-05-05,1,524,3475
173,Employee_173,16755,Manager,2023-06-15,10,657,3241
174,Employee_174,24527,Analyst,2021-03-22,5,648,2149
175,Employee_175,42807,Analyst,2019-12-15,2,752,1854
176,Employee_176,47462,Analyst,2023-05-05,3,661,2604
177,Employee_177,37744,Engineer,2022-10-01,3,484,4039
178,Employee_178,11079,Assistant,2022-07-12,3,361,1000
179,Employee_179,11984,Assistant,2022-12-13,4,275,3809
180,Employee_180,15422,Engineer,2021-04-21,6,203,2399
181,Employee_181,45923,Manager,2020-08-03,5,931,1310
182,Employee_182,39032,Manager,2021-09-21,6,637,1617
183,Employee_183,24872,Assistant,2021-06-13,8,502,1537
184,Employee_184,42950,Assistant,2022-09-01,8,474,1495
185,Employee_185,35082,Analyst,2020-06-08,1,381,2585
186,Employee_186,26870,Analyst,2021-05-02,1,301,1641
187,Employee_187,37092,Analyst,2019-12-19,7,118,2683
188,Employee_188,40808,Assistant,2022-07-14,6,203,2842
189,Employee_189,15151,Assistant,2021-06-21,7,607,1886
190,Employee_190,14801,Engineer,2022-02-26,9,216,2731
191,Employee_191,48352,Assistant,2022-06-25,10,31,2066
192,Employee_192,21207,Manager,2020-07-19,8,135,2878
193,Employee_193,26249,Analyst,2021-10-10,3,231,3796
194,Employee_194,10461,Engineer,2021-04-21,2,123,1072
195,Employee_195,25544,Assistant,2019-09-26,1,79,4980
196,Employee_196,25348,Analyst,2021-07-09,4,750,2620
197,Employee_197,25930,Engineer,2022-08-05,9,545,2631
198,Employee_198,29037,Manager,2022-12-26,4,356,3648
199,Employee_199,47034,Analyst,2020-09-07,3,117,4262
200,Employee_200,40291,Manager,2019-11-16,3,462,2081
201,Employee_201,44629,Analyst,2022-11-24,10,612,1241
202,Employee_202,41631,Engineer,2021-09-21,1,522,3850
203,Employee_203,31856,Analyst,2019-09-18,3,34,1452
204,Employee_204,48470,Assistant,2021-04-22,2,384,3189
205,Employee_205,29498,Analyst,2020-08-11,3,723,1504
206,Employee_206,42926,Analyst,2022-03-03,2,647,4525
207,Employee_207,22246,Analyst,2020-03-28,5,30,2669
208,Employee_208,14644,Assistant,2022-12-05,5,61,2345
209,Employee_209,41840,Analyst,2020-06-15,7,479,4442
210,Employee_210,41638,Engineer,2019-10-27,1,734,1090
211,Employee_211,23629,Assistant,2019-12-06,5,611,2122
212,Employee_212,12595,Manager,2022-02-15,2,719,4177
213,Employee_213,46443,Manager,2020-10-15,3,890,4913
214,Employee_214,29219,Assistant,2021-06-12,2,921,4380
215,Employee_215,18834,Analyst,2020-12-06,4,872,4788
216,Employee_216,35835,Analyst,2023-04-03,4,261,2628
217,Employee_217,19634,Assistant,2022-07-13,5,206,3726
218,Employee_218,40798,Engineer,2019-07-02,7,556,2293
219,Employee_219,41158,Manager,2023-03-18,5,723,2211
220,Employee_220,14159,Analyst,2019-11-30,2,867,1677
221,Employee_221,39948,Manager,2020-10-29,8,3,1380
222,Employee_222,29998,Analyst,2022-05-06,3,792,1542
223,Employee_223,23764,Engineer,2022-10-31,10,592,4194
224,Employee_224,26265,Assistant,2020-08-23,8,186,1081
225,Employee_225,28009,Assistant,2021-12-29,9,689,2341
226,Employee_226,36578,Engineer,2020-12-02,10,273,4755
227,Employee_227,17099,Engineer,2020-03-23,5,687,3572
228,Employee_228,41784,Manager,2019-12-27,4,163,1726
229,Employee_229,29251,Engineer,2023-01-05,4,951,3888
230,Employee_230,20808,Assistant,2021-08-09,2,195,1284
231,Employee_231,22710,Manager,2022-08-08,2,272,2053
232,Employee_232,42995,Engineer,2021-05-30,8,840,2520
233,Employee_233,30879,Analyst,2020-03-16,7,534,3926
234,Employee_234,32121,Manager,2021-05-28,4,401,1101
235,Employee_235,14898,Manager,2020-06-14,2,973,2587
236,Employee_236,42771,Manager,2022-01-16,2,397,4660
237,Employee_237,36850,Assistant,2021-01-10,10,15,4555
238,Employee_238,13985,Assistant,2021-04-02,5,285,3520
239,Employee_239,15423,Analyst,2021-11-12,8,60,2226
240,Employee_240,19825,Engineer,2019-10-17,9,861,1515
241,Employee_241,12713,Assistant,2019-08-03,5,676,2526
242,Employee_242,31566,Engineer,2022-10-10,2,169,1394
243,Employee_243,47866,Analyst,2019-07-01,1,798,3535
244,Employee_244,11306,Assistant,2021-12-07,2,883,4127
245,Employee_245,30947,Analyst,2019-12-29,8,313,4821
246,Employee_246,34443,Engineer,2023-05-01,2,906,1698
247,Employee_247,40121,Assistant,2020-02-26,10,823,3538
248,Employee_248,33324,Assistant,2023-02-15,10,534,3583
249,Employee_249,38647,Engineer,2021-09-04,1,536,3180
250,Employee_250,15011,Manager,2021-09-07,5,751,4151
251,Employee_251,35629,Analyst,2019-07-19,5,729,1742
252,Employee_252,34149,Manager,2023-01-13,8,806,3499
253,Employee_253,13661,Engineer,2023-04-23,2,174,2919
254,Employee_254,35895,Assistant,2020-02-03,9,444,4399
255,Employee_255,22535,Analyst,2020-03-02,6,253,2820
256,Employee_256,28994,Analyst,2021-10-18,5,802,3989
257,Employee_257,16708,Manager,2022-05-10,9,34,1321
258,Employee_258,19643,Assistant,2022-12-28,1,385,2248
259,Employee_259,24232,Assistant,2021-09-06,7,743,2018
260,Employee_260,44472,Engineer,2020-11-18,2,802,3286
261,Employee_261,41008,Engineer,2019-09-26,7,460,2029
262,Employee_262,12022,Assistant,2021-12-22,3,899,2638
263,Employee_263,15033,Assistant,2022-01-12,10,323,1263
264,Employee_264,34857,Engineer,2021-08-20,10,443,3171
265,Employee_265,27025,Engineer,2019-08-22,1,903,3754
266,Employee_266,12285,Manager,2021-11-02,1,624,1791
267,Employee_267,49370,Manager,2020-01-22,8,464,1803
268,Employee_268,40052,Manager,2023-02-18,3,385,1165
269,Employee_269,40454,Assistant,2023-04-29,6,862,3669
270,Employee_270,13111,Engineer,2021-10-17,3,711,4761
271,Employee_271,48644,Analyst,2019-08-24,2,747,1654
272,Employee_272,17349,Manager,2022-10-10,10,558,3150
273,Employee_273,32047,Assistant,2021-01-16,7,901,2423
274,Employee_274,35239,Assistant,2019-12-04,10,764,3355
275,Employee_275,49452,Assistant,2019-09-01,5,633,1341
276,Employee_276,30556,Engineer,2019-06-23,2,711,2309
277,Employee_277,17655,Engineer,2022-06-01,9,807,3295
278,Employee_278,34597,Assistant,2023-05-27,4,450,4220
279,Employee_279,41126,Engineer,2023-04-29,9,340,2311
280,Employee_280,47657,Assistant,2019-12-09,6,356,1859
281,Employee_281,17175,Analyst,2022-10-30,2,152,4741
282,Employee_282,46036,Engineer,2020-11-05,4,133,4730
283,Employee_283,36430,Assistant,2022-10-28,7,593,3480
284,Employee_284,39862,Manager,2023-02-14,4,939,1450
285,Employee_285,44683,Assistant,2022-08-10,6,830,3358
286,Employee_286,37963,Engineer,2020-11-05,7,825,2877
287,Employee_287,19185,Analyst,2019-12-11,8,14,2132
288,Employee_288,24563,Assistant,2020-04-19,10,202,2338
289,Employee_289,10859,Engineer,2021-03-19,1,322,3872
290,Employee_290,14216,Engineer,2022-08-25,6,935,3570
291,Employee_291,43345,Manager,2022-03-13,4,315,3644
292,Employee_292,42780,Assistant,2019-08-17,7,849,3194
293,Employee_293,38087,Analyst,2022-07-09,1,848,4080
294,Employee_294,20551,Assistant,2019-08-04,8,694,2269
295,Employee_295,28933,Analyst,2021-03-26,4,758,4101
296,Employee_296,40444,Analyst,2023-01-07,1,887,1408
297,Employee_297,34008,Assistant,2021-06-04,6,139,4027
298,Employee_298,18427,Assistant,2023-04-10,2,801,3380
299,Employee_299,29221,Analyst,2023-03-23,3,881,4744
300,Employee_300,15505,Assistant,2020-04-14,3,98,1884
301,Employee_301,35171,Engineer,2021-07-27,9,801,2208
302,Employee_302,25629,Engineer,2023-04-16,9,465,1345
303,Employee_303,20184,Manager,2022-09-03,2,33,4301
304,Employee_304,29814,Engineer,2022-02-25,9,165,1588
305,Employee_305,40799,Engineer,2020-12-30,1,891,2423
306,Employee_306,48675,Engineer,2020-08-25,8,544,3761
307,Employee_307,37795,Engineer,2022-09-02,3,30,2918
308,Employee_308,17296,Engineer,2021-03-20,2,889,3900
309,Employee_309,36956,Analyst,2022-03-02,5,757,1186
310,Employee_310,44128,Engineer,2023-04-29,7,676,1899
311,Employee_311,24715,Engineer,2022-11-08,5,696,3715
312,Employee_312,21520,Manager,2022-03-28,5,125,2886
313,Employee_313,36318,Analyst,2022-06-02,1,469,4795
314,Employee_314,17163,Analyst,2021-08-21,10,163,2827
315,Employee_315,17869,Assistant,2020-08-28,9,776,2509
316,Employee_316,21035,Analyst,2022-09-20,3,734,2280
317,Employee_317,34138,Analyst,2021-07-12,4,324,1417
318,Employee_318,37008,Manager,2022-12-12,5,154,2849
319,Employee_319,29623,Analyst,2019-10-19,2,431,1831
320,Employee_320,29720,Assistant,2022-08-06,2,767,1904
321,Employee_321,49361,Assistant,2019-12-31,9,801,4376
322,Employee_322,20943,Assistant,2022-08-05,6,581,3046
323,Employee_323,27277,Manager,2023-05-12,7,21,1777
324,Employee_324,21544,Engineer,2019-10-31,9,531,2008
325,Employee_325,28768,Assistant,2022-06-12,3,676,3794
326,Employee_326,21301,Manager,2021-01-08,6,976,2845
327,Employee_327,49898,Manager,2022-03-06,8,689,4059
328,Employee_328,47960,Manager,2021-04-01,3,935,2925
329,Employee_329,32001,Manager,2021-05-10,2,706,1345
330,Employee_330,31221,Analyst,2020-06-08,9,635,1448
331,Employee_331,40671,Manager,2023-02-13,2,224,3969
332,Employee_332,12987,Analyst,2021-09-17,1,353,2977
333,Employee_333,47305,Engineer,2022-01-28,1,143,3478
334,Employee_334,35408,Manager,2023-04-03,5,984,3607
335,Employee_335,18903,Manager,2019-11-23,5,697,3901
336,Employee_336,24357,Analyst,2019-06-26,6,915,3946
337,Employee_337,16920,Analyst,2020-11-16,3,846,4033
338,Employee_338,21201,Manager,2022-08-05,3,355,1655
339,Employee_339,44335,Assistant,2019-08-12,10,588,1603
340,Employee_340,27585,Manager,2022-09-15,7,480,4609
341,Employee_341,46019,Analyst,2021-12-22,7,793,1575
342,Employee_342,34748,Engineer,2021-03-21,10,53,2710
343,Employee_343,12419,Engineer,2021-08-10,3,734,1287
344,Employee_344,14025,Analyst,2020-03-29,6,62,4280
345,Employee_345,44046,Analyst,2021-12-10,10,67,3829
346,Employee_346,49802,Analyst,2021-01-10,8,321,4858
347,Employee_347,43012,Engineer,2019-12-25,10,135,4119
348,Employee_348,47509,Analyst,2022-05-30,4,335,3916
349,Employee_349,15167,Engineer,2022-12-21,10,67,2393
350,Employee_350,25114,Assistant,2022-02-28,8,58,4863
351,Employee_351,43179,Engineer,2020-07-02,4,986,3159
352,Employee_352,16761,Engineer,2020-11-09,6,956,2198
353,Employee_353,14805,Manager,2021-10-24,8,285,1954
354,Employee_354,44881,Analyst,2019-11-06,10,76,3530
355,Employee_355,36557,Assistant,2021-07-31,3,770,3765
356,Employee_356,25395,Analyst,2020-02-14,6,252,2627
357,Employee_357,42823,Manager,2020-06-22,8,41,2568
358,Employee_358,26413,Analyst,2021-07-09,10,765,4846
359,Employee_359,32364,Manager,2021-03-12,10,596,3648
360,Employee_360,45333,Engineer,2022-03-30,2,519,1904
361,Employee_361,37915,Assistant,2020-10-10,5,982,2787
362,Employee_362,13189,Analyst,2021-08-25,1,382,4478
363,Employee_363,30098,Assistant,2019-06-23,9,961,3076
364,Employee_364,33860,Engineer,2019-06-24,1,580,1405
365,Employee_365,13962,Engineer,2020-09-01,7,959,3071
366,Employee_366,49021,Assistant,2022-04-29,10,450,4163
367,Employee_367,16400,Engineer,2019-11-08,7,297,4242
368,Employee_368,39965,Assistant,2023-03-26,6,107,4063
369,Employee_369,27360,Assistant,2019-12-23,7,204,3520
370,Employee_370,26190,Engineer,2022-09-26,10,701,1808
371,Employee_371,26331,Manager,2022-06-19,10,465,2311
372,Employee_372,19463,Assistant,2022-07-19,7,560,3042
373,Employee_373,44677,Assistant,2023-02-19,7,797,2153
374,Employee_374,23727,Assistant,2021-06-24,3,276,3215
375,Employee_375,14920,Manager,2021-01-11,5,115,2695
376,Employee_376,32760,Engineer,2022-05-19,2,445,4035
377,Employee_377,39410,Analyst,2022-04-13,5,686,2851
378,Employee_378,43054,Assistant,2022-06-18,9,152,1667
379,Employee_379,40786,Assistant,2019-12-23,1,178,3573
380,Employee_380,35212,Engineer,2022-05-03,5,624,2581
381,Employee_381,11933,Engineer,2019-12-30,5,101,3426
382,Employee_382,36692,Engineer,2020-10-17,8,948,1155
383,Employee_383,15116,Engineer,2019-08-22,3,917,4299
384,Employee_384,34202,Analyst,2021-12-18,7,383,1529
385,Employee_385,10220,Analyst,2023-02-15,9,725,1102
386,Employee_386,11092,Assistant,2020-10-05,3,340,4531
387,Employee_387,29831,Engineer,2022-02-20,6,251,3924
388,Employee_388,10912,Manager,2021-09-07,6,492,1349
389,Employee_389,36782,Manager,2023-04-22,7,401,1590
390,Employee_390,24790,Manager,2021-07-28,2,742,4690
391,Employee_391,29091,Analyst,2021-09-06,10,980,2981
392,Employee_392,26567,Manager,2021-01-25,1,600,3747
393,Employee_393,43855,Analyst,2020-02-13,7,186,2186
394,Employee_394,31856,Assistant,2021-11-23,10,473,1265
395,Employee_395,36357,Manager,2022-10-19,7,102,2867
396,Employee_396,17354,Assistant,2021-01-05,9,666,1363
397,Employee_397,12504,Engineer,2022-07-12,8,560,3683
398,Employee_398,26719,Assistant,2021-08-26,6,954,2685
399,Employee_399,48901,Manager,2022-05-30,4,543,2845
400,Employee_400,34735,Assistant,2020-06-07,9,67,2678
401,Employee_401,31470,Engineer,2022-02-06,5,525,3848
402,Employee_402,48613,Engineer,2021-06-17,7,950,2414
403,Employee_403,22744,Manager,2021-06-22,2,569,4267
404,Employee_404,45436,Engineer,2022-12-17,10,668,1201
405,Employee_405,42907,Engineer,2022-09-24,3,592,3826
406,Employee_406,17398,Assistant,2022-05-17,7,412,2576
407,Employee_407,45234,Analyst,2021-01-12,7,519,3362
408,Employee_408,32136,Engineer,2022-07-03,8,631,2090
409,Employee_409,20254,Assistant,2022-02-08,6,810,3174
410,Employee_410,14467,Analyst,2021-10-11,4,765,1385
411,Employee_411,29444,Manager,2022-08-21,1,884,3705
412,Employee_412,47736,Manager,2019-12-31,10,925,1503
413,Employee_413,19342,Manager,2021-08-29,5,63,2167
414,Employee_414,13430,Analyst,2020-10-12,4,889,4290
415,Employee_415,13107,Engineer,2022-03-09,9,272,4977
416,Employee_416,18799,Engineer,2020-04-19,2,705,4901
417,Employee_417,15241,Manager,2021-09-27,10,760,2541
418,Employee_418,19810,Manager,2022-07-30,6,87,3470
419,Employee_419,14082,Assistant,2022-06-30,5,661,2742
420,Employee_420,22267,Assistant,2020-12-08,10,46,4564
421,Employee_421,20370,Engineer,2020-01-01,7,458,2200
422,Employee_422,16508,Engineer,2022-11-04,3,119,3810
423,Employee_423,46354,Engineer,2021-05-12,7,324,3682
424,Employee_424,17844,Assistant,2020-08-27,7,988,1708
425,Employee_425,19613,Manager,2020-09-11,6,7,1434
426,Employee_426,45340,Engineer,2019-11-27,3,43,1675
427,Employee_427,10610,Analyst,2022-05-24,10,710,2563
428,Employee_428,49621,Engineer,2019-12-22,9,516,1072
429,Employee_429,14219,Manager,2022-09-03,7,701,1291
430,Employee_430,16406,Assistant,2020-01-15,10,86,3993
431,Employee_431,11038,Engineer,2021-05-26,3,601,1880
432,Employee_432,29030,Engineer,2019-07-02,6,177,1362
433,Employee_433,43504,Analyst,2020-11-19,4,638,3851
434,Employee_434,49559,Assistant,2020-12-18,4,295,4731
435,Employee_435,42013,Analyst,2021-09-04,2,295,1408
436,Employee_436,48809,Engineer,2021-12-04,7,40,2049
437,Employee_437,31384,Assistant,2022-12-12,1,16,1778
438,Employee_438,19861,Assistant,2022-02-17,2,474,2446
439,Employee_439,42135,Assistant,2021-12-19,8,175,2511
440,Employee_440,15414,Assistant,2019-10-11,8,567,3429
441,Employee_441,39318,Assistant,2021-05-02,6,598,1495
442,Employee_442,31227,Engineer,2019-08-08,3,975,2321
443,Employee_443,23143,Assistant,2022-11-27,4,521,2436
444,Employee_444,30654,Manager,2022-12-25,3,987,4473
445,Employee_445,27880,Analyst,2022-12-31,5,461,1373
446,Employee_446,28477,Assistant,2022-01-31,7,331,1118
447,Employee_447,49526,Assistant,2022-07-15,5,614,2296
448,Employee_448,31687,Engineer,2023-04-26,8,407,3820
449,Employee_449,12123,Assistant,2020-07-01,8,164,3954
450,Employee_450,19048,Engineer,2022-08-29,2,302,1952
451,Employee_451,32288,Engineer,2020-08-03,6,726,3049
452,Employee_452,16820,Engineer,2023-05-11,3,182,1423
453,Employee_453,12954,Assistant,2023-03-14,2,558,4342
454,Employee_454,30148,Assistant,2019-10-18,8,477,1170
455,Employee_455,45447,Analyst,2020-11-25,5,185,1024
456,Employee_456,21209,Analyst,2023-01-07,8,599,1374
457,Employee_457,44471,Assistant,2022-08-21,9,2,2838
458,Employee_458,39344,Manager,2022-03-23,5,494,2166
459,Employee_459,41379,Manager,2021-10-08,5,106,3280
460,Employee_460,49049,Assistant,2022-12-29,7,778,2538
461,Employee_461,21138,Engineer,2023-03-31,7,623,3067
462,Employee_462,39636,Engineer,2022-12-22,6,771,2867
463,Employee_463,39298,Engineer,2022-03-20,1,193,4746
464,Employee_464,30618,Assistant,2019-12-24,8,679,3822
465,Employee_465,25198,Assistant,2020-12-15,8,901,3112
466,Employee_466,20011,Assistant,2021-09-27,8,423,2961
467,Employee_467,26957,Analyst,2021-07-10,10,390,2511
468,Employee_468,19725,Manager,2021-12-18,2,500,2128
